# set	generacion	display	carga	imagen1	imagen2
# Extraido de s11games.c y degames.c de PinMAME. Las tres familias
# comparten el mismo mapa de memoria (s11.c tiene uno solo).
hs_l4	S11X	s11a	8x4000+32-8000	hs_u26.l4	hs_u27.l4
hs_l3	S11X	s11a	8x4000+32-8000	u26-l3.rom	hs_u27.l4
hs_l4c	S11X	s11a	8x4000+32-8000	high speed u26 game rom rev l-4 patch f43c.rom	high speed u27 game rom rev l-4 patch 6b05.rom
hs_l4c	S11X	s11a	8x4000+32-8000	high speed u26 game rom rev l-4 patch f43c.rom	high speed u27 game rom rev l-4 patch f43c.rom
grand_l4	S11X	s11a	8x4000+32-8000	lzrd_u26.l3	lzrd_u27.l4
grand_l3	S11X	s11a	8x4000+32-8000	lzrd_u26.l3	lzrd_u27.l3
grand_l1	S11X	s11a	8x4000+32-8000	grand lizard u26 l1.bin	grand lizard u27 l1.bin
rdkng_l4	S11X	s11a	16400+32-8000	road_u26.l4	road_u27.l4
rdkng_l1	S11X	s11a	16400+32-8000	road_u26.l1	road_u27.l1
rdkng_l2	S11X	s11a	16400+32-8000	road_u26.l1	road_u27.l2
rdkng_l3	S11X	s11a	16400+32-8000	road_u26.l3	road_u27.l3
pb_l5	S11X	s11a	16400+32-8000	pbot_u26.l5	pbot_u27.l5
pb_l5h	S11X	s11a	16400+32-8000	pbot_u26_svm.l5	pbot_u27_svm.l5
pb_l3	S11X	s11a	16400+32-8000	u26-l1.rom	u27-l3.rom
pb_l2	S11X	s11a	16400+32-8000	u26-l1.rom	u27-l2.rom
pb_l1	S11X	s11a	16400+32-8000	u26-l1.rom	u27-l1.rom
pb_p4	S11X	s11a	16400+32-8000	u26-l1.rom	u27_p4.bin
pb_j1	S11X	s11a	16400+32-8000	pembot_u26.j1	pembot_u27.j1
pb_j2	S11X	s11a	16400+32-8000	pembot_j2_u26.bin	pembot_j2_u27.bin
pb_j3	S11X	s11a	16400+32-8000	pembot_j3_u26.bin	pembot_j3_u27.bin
pb_j5	S11X	s11a	16400+32-8000	pembot_j5_u26.bin	pembot_j5_u27.bin
f14_p3	S11A	s11a	16400+32-8000	f14_l3.u26	f14_l3.u27
f14_p4	S11A	s11a	16400+32-8000	u26_l4.128	u27_l4.256
f14_l1	S11A	s11a	16400+32-8000	f14_u26.l1	f14_u27.l1
f14_p5	S11A	s11a	16400+32-8000	f14_u26.p5	f14_u27.p5
fire_l3	S11A	s11a	16400+32-8000	fire_u26.l3	fire_u27.l3
fire_l2	S11A	s11a	16400+32-8000	fire_u26.l2	fire_u27.l2
bguns_l8	S11A	s11a	16400+32-8000	guns_u26.l8	guns_u27.l8
bguns_l7	S11A	s11a	16400+32-8000	guns_u26.l8	guns_u27.l7
bguns_la	S11A	s11a	16400+32-8000	u26-l-a.rom	u27-l-a.rom
bguns_lac	S11A	s11a	16400+32-8000	u26-l-a.rom	big guns u27 game rom rev l-a patch 7472.rom
bguns_p1	S11A	s11a	16400+32-8000	u26-p-1.rom	u27-p-1.rom
spstn_l5	S11B	s11a	16400+32-8000	sstn_u26.l5	sstn_u27.l5
cycln_l5	S11B	s11a	16400+32-8000	cycl_u26.l5	cycl_u27.l5
cycln_l4	S11B	s11a	16400+32-8000	cycl_u26.l4	cycl_u27.l4
cycln_l1	S11B	s11a	16400+32-8000	cycl_u26.l1	cycl_u27.l1
bnzai_l3	S11B	s11a	16400+32-8000	banz_u26.l3	banz_u27.l3
bnzai_t3	S11B	s11a	16400+32-8000	banz_u26.l3t	banz_u27.l3
bnzai_g3	S11B	s11a	16400+32-8000	banz_u26.l3g	banz_u27.l3
bnzai_l1	S11B	s11a	16400+32-8000	u26-l1.rom	u27-l1.rom
bnzai_pa	S11B	s11a	16400+32-8000	u26-pa.rom	u27-pa.rom
swrds_l2	S11B	s11a	16400+32-8000	swrd_u26.l2	swrd_u27.l2
swrds_lg2	S11B	s11a	16400+32-8000	swrd_u26.l1	swrd_u27g.l2
swrds_l1	S11B	s11a	16400+32-8000	swrd_u26.l1	swrd_u27.l1
swrds_rr1	S11B	s11a	16400+32-8000	swrd_u26wsound.rrv1	swrd_u27.rrv1
swrds_rr1b	S11B	s11a	16400+32-8000	swrd_u26.rrv1	swrd_u27.rrv1
taxi_l4	S11B	s11b	16400+32-8000	taxi_u26.l4	taxi_u27.l4
taxi_l5c	S11B	s11b	16400+32-8000	taxi_u26.l4	taxi_u27.l5c
taxi_l5cm	S11B	s11b	16400+32-8000	taxi_u26.l4	taxi_u27.l5cm
taxi_l3	S11B	s11b	16400+32-8000	taxi_u26.l4	taxi_u27.l3
taxi_lu1	S11B	s11b	16400+32-8000	u26-lu1m.rom	u27-lu1m.rom
taxi_lg1	S11B	s11b	16400+32-8000	u26-lu1m.rom	u27-lg1m.rom
taxi_p5	S11B	s11b	16400+32-8000	taxi_u26.p5	taxi_u27.p5
jokrz_l6	S11B2	s11b	16400+32-8000	jokeru26.l6	jokeru27.l6
jokrz_l3	S11B2	s11b	16400+32-8000	u26-l3.rom	u27-l3.rom
jokrz_g4	S11B2	s11b	16400+32-8000	u26-l3.rom	jokerz_u27.g4
esha_la3	S11B	s11b	16400+32-8000	eshk_u26.l3	eshk_u27.l3
esha_l4c	S11B	s11b	16400+32-8000	eshk_u26.l4c	eshk_u27.l4c
esha_ma3	S11B	s11b	16400+32-8000	eshk_u26.ma3	eshk_u27.ma3
esha_lg1	S11B	s11b	16400+32-8000	u26-lg1.rom	u27-lg1.rom
esha_lg2	S11B	s11b	16400+32-8000	u26-lg2.rom	u27-lg1.rom
esha_la1	S11B	s11b	16400+32-8000	u26-la1.rom	u27-la1.rom
esha_pa4	S11B	s11b	16400+32-8000	eshk_u26.pa4	eshk_u27.pa4
esha_pa1	S11B	s11b	16400+32-8000	u26-pa1.rom	u27-pa1.rom
bk2k_l4	S11B	s11b	16400+32-8000	bk2k_u26.l4	bk2k_u27.l4
bk2k_lg1	S11B	s11b	16400+32-8000	u26-pu1.rom	bk2k_u27.lg1
bk2k_lg3	S11B	s11b	16400+32-8000	u26-lg3.rom	u27-lg3.rom
bk2k_pu1	S11B	s11b	16400+32-8000	u26-pu1.rom	u27-pu1.rom
bk2k_la2	S11B	s11b	16400+32-8000	u26-pu1.rom	bk2k_u27.la2
bk2k_pa7	S11B	s11b	16400+32-8000	bk2k_u26.pa7	bk2k_u27.pa7
bk2k_pa5	S11B	s11b	16400+32-8000	bk2k_u26.pa5	bk2k_u27.pa5
bk2k_pf1	S11B	s11b	16400+32-8000	bk2k_u26.pf7	bk2k_u27.pf1
polic_l4	S11B	s11b	16400+32-8000	pfrc_u26.l4	pfrc_u27.l4
polic_g4	S11B	s11b	16400+32-8000	pfrc_u26.l4	pfrc_u27.lg4
polic_l3	S11B	s11b	16400+32-8000	pfrc_u26.l4	pfrc_u27.lx3
polic_l2	S11B	s11b	16400+32-8000	pfrc_u26.l2	pfrc_u27.l2
polic_lx5	S11B	s11b	16400+32-8000	pfrc_u26.lx5a	pfrc_u27.lx5a
polic_lx5pi	S11B	s11b	16400+32-8000	pfrc_u26.lx5pi	pfrc_u27.lx5pi
tsptr_l3	S11B	s11b	16400+32-8000	tran_u26.l3	tran_u27.l3
tsptr_l1	S11B	s11b	16400+32-8000	transporter-la1-u26-checksumb412.bin	transporter-la1-u27-checksum01cf.bin
tsptr_l3fj	S11B	s11b	16400+32-8000	tran_u26.l3	tran_u27.l3fixedjackpot
tsptr_lx4	S11B	s11b	16400+32-8000	tran_u26_lx4.l3	tran_u27_lx4.l3
tsptr_lx4b	S11B	s11b	16400+32-8000	tran_u26_lx4_clean.l3	tran_u27_lx4_clean.l3
bcats_l5	S11B	s11b	16400+32-8000	cats_u26.l5	cats_u27.l5
bcats_f1	S11B	s11b	16400+32-8000	cats_u26.lf1	cats_u27.lf1
bcats_l2	S11B	s11b	16400+32-8000	bcgu26.la2	bcgu27.la2
bcats_g4	S11B	s11b	16400+32-8000	cats_u26.l5	cats_u27.lg4
